,Country,Year,Density,
175,Mayotte,2015,Population mid-year estimates for females (millions),0.13
175,Mayotte,2015,Sex ratio (males per 100 females),92.7
175,Mayotte,2015,Population aged 0 to 14 years old (percentage),43.9
175,Mayotte,2015,Population aged 60+ years old (percentage),4.4
175,Mayotte,2015,Population density,665.5
175,Mayotte,2022,Population mid-year estimates (millions),0.33
175,Mayotte,2022,Population mid-year estimates for males (millions),0.15
175,Mayotte,2022,Population mid-year estimates for females (millions),0.17
175,Mayotte,2022,Sex ratio (males per 100 females),90
175,Mayotte,2022,Population aged 0 to 14 years old (percentage),44.2
175,Mayotte,2022,Population aged 60+ years old (percentage),4.6
175,Mayotte,2022,Population density,869.6
484,Mexico,2010,Population mid-year estimates (millions),112.53
484,Mexico,2010,Population mid-year estimates for males (millions),55.09
484,Mexico,2010,Population mid-year estimates for females (millions),57.45
484,Mexico,2010,Sex ratio (males per 100 females),95.9
484,Mexico,2010,Population aged 0 to 14 years old (percentage),29.9
484,Mexico,2010,Population aged 60+ years old (percentage),8.9
484,Mexico,2010,Population density,57.4
484,Mexico,2015,Population mid-year estimates (millions),120.15
484,Mexico,2015,Population mid-year estimates for males (millions),58.82
484,Mexico,2015,Population mid-year estimates for females (millions),61.33
484,Mexico,2015,Sex ratio (males per 100 females),95.9
484,Mexico,2015,Population aged 0 to 14 years old (percentage),27.6
484,Mexico,2015,Population aged 60+ years old (percentage),10.2
484,Mexico,2015,Population density,61.3
484,Mexico,2021,Population mid-year estimates (millions),126.71
484,Mexico,2021,Population mid-year estimates for males (millions),61.86
484,Mexico,2021,Population mid-year estimates for females (millions),64.85
484,Mexico,2021,Sex ratio (males per 100 females),95.4
484,Mexico,2021,Population aged 0 to 14 years old (percentage),25
484,Mexico,2021,Population aged 60+ years old (percentage),11.9
484,Mexico,2021,Population density,64.7
484,Mexico,2021,Surface area (thousand km2),"1,964"
484,Mexico,2022,Population mid-year estimates (millions),127.5
484,Mexico,2022,Population mid-year estimates for males (millions),62.2
484,Mexico,2022,Population mid-year estimates for females (millions),65.31
484,Mexico,2022,Sex ratio (males per 100 females),95.2
484,Mexico,2022,Population aged 0 to 14 years old (percentage),24.5
484,Mexico,2022,Population aged 60+ years old (percentage),12.2
484,Mexico,2022,Population density,65.1
583,Micronesia (Fed. States of),2010,Population mid-year estimates (millions),0.11
583,Micronesia (Fed. States of),2010,Population mid-year estimates for males (millions),0.05
583,Micronesia (Fed. States of),2010,Population mid-year estimates for females (millions),0.05
583,Micronesia (Fed. States of),2010,Sex ratio (males per 100 females),101.7
583,Micronesia (Fed. States of),2010,Population aged 0 to 14 years old (percentage),35.5
583,Micronesia (Fed. States of),2010,Population aged 60+ years old (percentage),5.5
583,Micronesia (Fed. States of),2010,Population density,153.7
583,Micronesia (Fed. States of),2015,Population mid-year estimates (millions),0.11
583,Micronesia (Fed. States of),2015,Population mid-year estimates for males (millions),0.06
583,Micronesia (Fed. States of),2015,Population mid-year estimates for females (millions),0.05
583,Micronesia (Fed. States of),2015,Sex ratio (males per 100 females),101.6
583,Micronesia (Fed. States of),2015,Population aged 0 to 14 years old (percentage),33.1
583,Micronesia (Fed. States of),2015,Population aged 60+ years old (percentage),7.2
583,Micronesia (Fed. States of),2015,Population density,156.4
583,Micronesia (Fed. States of),2021,Population mid-year estimates (millions),0.11
583,Micronesia (Fed. States of),2021,Population mid-year estimates for males (millions),0.06
583,Micronesia (Fed. States of),2021,Population mid-year estimates for females (millions),0.06
583,Micronesia (Fed. States of),2021,Sex ratio (males per 100 females),101.2
583,Micronesia (Fed. States of),2021,Population aged 0 to 14 years old (percentage),30.7
583,Micronesia (Fed. States of),2021,Population aged 60+ years old (percentage),9.5
583,Micronesia (Fed. States of),2021,Population density,161.6
583,Micronesia (Fed. States of),2021,Surface area (thousand km2),1
583,Micronesia (Fed. States of),2022,Population mid-year estimates (millions),0.11
583,Micronesia (Fed. States of),2022,Population mid-year estimates for males (millions),0.06
583,Micronesia (Fed. States of),2022,Population mid-year estimates for females (millions),0.06
583,Micronesia (Fed. States of),2022,Sex ratio (males per 100 females),101.1
583,Micronesia (Fed. States of),2022,Population aged 0 to 14 years old (percentage),30.3
583,Micronesia (Fed. States of),2022,Population aged 60+ years old (percentage),9.8
583,Micronesia (Fed. States of),2022,Population density,163.1
492,Monaco,2010,Population mid-year estimates (millions),0.03
492,Monaco,2010,Population mid-year estimates for males (millions),0.02
492,Monaco,2010,Population mid-year estimates for females (millions),0.02
492,Monaco,2010,Sex ratio (males per 100 females),95.5
492,Monaco,2010,Population aged 0 to 14 years old (percentage),13
492,Monaco,2010,Population aged 60+ years old (percentage),34.6
492,Monaco,2010,Population density,"22,267.50"
492,Monaco,2015,Population mid-year estimates (millions),0.04
492,Monaco,2015,Population mid-year estimates for males (millions),0.02
492,Monaco,2015,Population mid-year estimates for females (millions),0.02
492,Monaco,2015,Sex ratio (males per 100 females),96.4
492,Monaco,2015,Population aged 0 to 14 years old (percentage),12.1
492,Monaco,2015,Population aged 60+ years old (percentage),41
492,Monaco,2015,Population density,"24,671.10"
492,Monaco,2021,Population mid-year estimates (millions),0.04
492,Monaco,2021,Population mid-year estimates for males (millions),0.02
492,Monaco,2021,Population mid-year estimates for females (millions),0.02
492,Monaco,2021,Sex ratio (males per 100 females),96.1
492,Monaco,2021,Population aged 0 to 14 years old (percentage),12.8
492,Monaco,2021,Population aged 60+ years old (percentage),43.6
492,Monaco,2021,Population density,"24,621.50"
492,Monaco,2021,Surface area (thousand km2),0
492,Monaco,2022,Population mid-year estimates (millions),0.04
492,Monaco,2022,Population mid-year estimates for males (millions),0.02
492,Monaco,2022,Population mid-year estimates for females (millions),0.02
492,Monaco,2022,Sex ratio (males per 100 females),96.1
492,Monaco,2022,Population aged 0 to 14 years old (percentage),13
492,Monaco,2022,Population aged 60+ years old (percentage),43.7
492,Monaco,2022,Population density,"24,475.80"
496,Mongolia,2010,Population mid-year estimates (millions),2.7
496,Mongolia,2010,Population mid-year estimates for males (millions),1.35
496,Mongolia,2010,Population mid-year estimates for females (millions),1.36
496,Mongolia,2010,Sex ratio (males per 100 females),99.3
496,Mongolia,2010,Population aged 0 to 14 years old (percentage),28.1
496,Mongolia,2010,Population aged 60+ years old (percentage),5.6
496,Mongolia,2010,Population density,1.7
496,Mongolia,2015,Population mid-year estimates (millions),2.96
496,Mongolia,2015,Population mid-year estimates for males (millions),1.47
496,Mongolia,2015,Population mid-year estimates for females (millions),1.49
496,Mongolia,2015,Sex ratio (males per 100 females),98.8
496,Mongolia,2015,Population aged 0 to 14 years old (percentage),29.3
496,Mongolia,2015,Population aged 60+ years old (percentage),6.1
496,Mongolia,2015,Population density,1.9
496,Mongolia,2021,Population mid-year estimates (millions),3.35
496,Mongolia,2021,Population mid-year estimates for males (millions),1.66
496,Mongolia,2021,Population mid-year estimates for females (millions),1.69
496,Mongolia,2021,Sex ratio (males per 100 females),98.5
496,Mongolia,2021,Population aged 0 to 14 years old (percentage),32.4
496,Mongolia,2021,Population aged 60+ years old (percentage),7.7
496,Mongolia,2021,Population density,2.2
496,Mongolia,2021,Surface area (thousand km2),"1,564"
496,Mongolia,2022,Population mid-year estimates (millions),3.4
496,Mongolia,2022,Population mid-year estimates for males (millions),1.69
496,Mongolia,2022,Population mid-year estimates for females (millions),1.71
496,Mongolia,2022,Sex ratio (males per 100 females),98.4
496,Mongolia,2022,Population aged 0 to 14 years old (percentage),32.5
496,Mongolia,2022,Population aged 60+ years old (percentage),8
496,Mongolia,2022,Population density,2.2
499,Montenegro,2010,Population mid-year estimates (millions),0.63
499,Montenegro,2010,Population mid-year estimates for males (millions),0.31
499,Montenegro,2010,Population mid-year estimates for females (millions),0.32
499,Montenegro,2010,Sex ratio (males per 100 females),94.9
499,Montenegro,2010,Population aged 0 to 14 years old (percentage),19.3
499,Montenegro,2010,Population aged 60+ years old (percentage),18
499,Montenegro,2010,Population density,45.7
499,Montenegro,2015,Population mid-year estimates (millions),0.63
499,Montenegro,2015,Population mid-year estimates for males (millions),0.31
499,Montenegro,2015,Population mid-year estimates for females (millions),0.32
499,Montenegro,2015,Sex ratio (males per 100 females),95.2
499,Montenegro,2015,Population aged 0 to 14 years old (percentage),18.5
499,Montenegro,2015,Population aged 60+ years old (percentage),20.2
499,Montenegro,2015,Population density,45.9
499,Montenegro,2021,Population mid-year estimates (millions),0.63
499,Montenegro,2021,Population mid-year estimates for males (millions),0.31
499,Montenegro,2021,Population mid-year estimates for females (millions),0.32
499,Montenegro,2021,Sex ratio (males per 100 females),95
499,Montenegro,2021,Population aged 0 to 14 years old (percentage),18.2
499,Montenegro,2021,Population aged 60+ years old (percentage),22.6
499,Montenegro,2021,Population density,45.5
499,Montenegro,2021,Surface area (thousand km2),14
499,Montenegro,2022,Population mid-year estimates (millions),0.63
499,Montenegro,2022,Population mid-year estimates for males (millions),0.31
499,Montenegro,2022,Population mid-year estimates for females (millions),0.32
499,Montenegro,2022,Sex ratio (males per 100 females),94.9
499,Montenegro,2022,Population aged 0 to 14 years old (percentage),18.1
499,Montenegro,2022,Population aged 60+ years old (percentage),22.9
499,Montenegro,2022,Population density,45.4
500,Montserrat,2010,Population mid-year estimates (millions),0
500,Montserrat,2010,Population mid-year estimates for males (millions),0
500,Montserrat,2010,Population mid-year estimates for females (millions),0
500,Montserrat,2010,Sex ratio (males per 100 females),107.4
500,Montserrat,2010,Population aged 0 to 14 years old (percentage),19.8
500,Montserrat,2010,Population aged 60+ years old (percentage),18.5
500,Montserrat,2010,Population density,47.9
500,Montserrat,2015,Population mid-year estimates (millions),0.01
500,Montserrat,2015,Population mid-year estimates for males (millions),0
500,Montserrat,2015,Population mid-year estimates for females (millions),0
500,Montserrat,2015,Sex ratio (males per 100 females),103.9
500,Montserrat,2015,Population aged 0 to 14 years old (percentage),18.2
500,Montserrat,2015,Population aged 60+ years old (percentage),20
500,Montserrat,2015,Population density,49.1
500,Montserrat,2021,Population mid-year estimates (millions),0
500,Montserrat,2021,Population mid-year estimates for males (millions),0
500,Montserrat,2021,Population mid-year estimates for females (millions),0
500,Montserrat,2021,Sex ratio (males per 100 females),111.8
500,Montserrat,2021,Population aged 0 to 14 years old (percentage),13.4
500,Montserrat,2021,Population aged 60+ years old (percentage),23.7
500,Montserrat,2021,Population density,42.9
500,Montserrat,2021,Surface area (thousand km2),0
500,Montserrat,2022,Population mid-year estimates (millions),0
500,Montserrat,2022,Population mid-year estimates for males (millions),0
500,Montserrat,2022,Population mid-year estimates for females (millions),0
500,Montserrat,2022,Sex ratio (males per 100 females),111.7
500,Montserrat,2022,Population aged 0 to 14 years old (percentage),12.8
500,Montserrat,2022,Population aged 60+ years old (percentage),24.4
500,Montserrat,2022,Population density,42.6
504,Morocco,2010,Population mid-year estimates (millions),32.46
504,Morocco,2010,Population mid-year estimates for males (millions),16.3
504,Morocco,2010,Population mid-year estimates for females (millions),16.17
504,Morocco,2010,Sex ratio (males per 100 females),100.8
504,Morocco,2010,Population aged 0 to 14 years old (percentage),28.9
504,Morocco,2010,Population aged 60+ years old (percentage),7.9
504,Morocco,2010,Population density,72.7
504,Morocco,2015,Population mid-year estimates (millions),34.68
504,Morocco,2015,Population mid-year estimates for males (millions),17.44
504,Morocco,2015,Population mid-year estimates for females (millions),17.24
504,Morocco,2015,Sex ratio (males per 100 females),101.2
504,Morocco,2015,Population aged 0 to 14 years old (percentage),28
504,Morocco,2015,Population aged 60+ years old (percentage),9.3
504,Morocco,2015,Population density,77.7
504,Morocco,2021,Population mid-year estimates (millions),37.08
504,Morocco,2021,Population mid-year estimates for males (millions),18.67
504,Morocco,2021,Population mid-year estimates for females (millions),18.41
504,Morocco,2021,Sex ratio (males per 100 females),101.4
504,Morocco,2021,Population aged 0 to 14 years old (percentage),26.9
504,Morocco,2021,Population aged 60+ years old (percentage),11.5
504,Morocco,2021,Population density,83.1
504,Morocco,2021,Surface area (thousand km2),447
504,Morocco,2022,Population mid-year estimates (millions),37.46
504,Morocco,2022,Population mid-year estimates for males (millions),18.85
504,Morocco,2022,Population mid-year estimates for females (millions),18.61
504,Morocco,2022,Sex ratio (males per 100 females),101.3
504,Morocco,2022,Population aged 0 to 14 years old (percentage),26.6
504,Morocco,2022,Population aged 60+ years old (percentage),11.9
504,Morocco,2022,Population density,83.9
508,Mozambique,2010,Population mid-year estimates (millions),23.07
508,Mozambique,2010,Population mid-year estimates for males (millions),11.24
508,Mozambique,2010,Population mid-year estimates for females (millions),11.84
508,Mozambique,2010,Sex ratio (males per 100 females),94.9
508,Mozambique,2010,Population aged 0 to 14 years old (percentage),45.4
508,Mozambique,2010,Population aged 60+ years old (percentage),4.3
508,Mozambique,2010,Population density,29.3
508,Mozambique,2015,Population mid-year estimates (millions),26.84
508,Mozambique,2015,Population mid-year estimates for males (millions),13.13
508,Mozambique,2015,Population mid-year estimates for females (millions),13.71
508,Mozambique,2015,Sex ratio (males per 100 females),95.7
508,Mozambique,2015,Population aged 0 to 14 years old (percentage),45
508,Mozambique,2015,Population aged 60+ years old (percentage),4.2
508,Mozambique,2015,Population density,34.1
508,Mozambique,2021,Population mid-year estimates (millions),32.08
508,Mozambique,2021,Population mid-year estimates for males (millions),15.74
508,Mozambique,2021,Population mid-year estimates for females (millions),16.34
508,Mozambique,2021,Sex ratio (males per 100 females),96.3
508,Mozambique,2021,Population aged 0 to 14 years old (percentage),43.7
508,Mozambique,2021,Population aged 60+ years old (percentage),4.2
508,Mozambique,2021,Population density,40.8
508,Mozambique,2021,Surface area (thousand km2),799
508,Mozambique,2022,Population mid-year estimates (millions),32.97
508,Mozambique,2022,Population mid-year estimates for males (millions),16.18
508,Mozambique,2022,Population mid-year estimates for females (millions),16.79
508,Mozambique,2022,Sex ratio (males per 100 females),96.3
508,Mozambique,2022,Population aged 0 to 14 years old (percentage),43.5
508,Mozambique,2022,Population aged 60+ years old (percentage),4.2
508,Mozambique,2022,Population density,41.9
104,Myanmar,2010,Population mid-year estimates (millions),49.39
104,Myanmar,2010,Population mid-year estimates for males (millions),24.66
104,Myanmar,2010,Population mid-year estimates for females (millions),24.73
104,Myanmar,2010,Sex ratio (males per 100 females),99.7
104,Myanmar,2010,Population aged 0 to 14 years old (percentage),28.3
104,Myanmar,2010,Population aged 60+ years old (percentage),7.9
104,Myanmar,2010,Population density,75.6
104,Myanmar,2015,Population mid-year estimates (millions),51.48
104,Myanmar,2015,Population mid-year estimates for males (millions),25.68
104,Myanmar,2015,Population mid-year estimates for females (millions),25.81
104,Myanmar,2015,Sex ratio (males per 100 females),99.5
104,Myanmar,2015,Population aged 0 to 14 years old (percentage),26.6
104,Myanmar,2015,Population aged 60+ years old (percentage),9
104,Myanmar,2015,Population density,78.8
104,Myanmar,2021,Population mid-year estimates (millions),53.8
104,Myanmar,2021,Population mid-year estimates for males (millions),26.78
104,Myanmar,2021,Population mid-year estimates for females (millions),27.02
104,Myanmar,2021,Sex ratio (males per 100 females),99.1
104,Myanmar,2021,Population aged 0 to 14 years old (percentage),24.9
104,Myanmar,2021,Population aged 60+ years old (percentage),10.5
104,Myanmar,2021,Population density,82.3
104,Myanmar,2021,Surface area (thousand km2),677
104,Myanmar,2022,Population mid-year estimates (millions),54.18
104,Myanmar,2022,Population mid-year estimates for males (millions),26.96
104,Myanmar,2022,Population mid-year estimates for females (millions),27.22
104,Myanmar,2022,Sex ratio (males per 100 females),99.1
104,Myanmar,2022,Population aged 0 to 14 years old (percentage),24.6
104,Myanmar,2022,Population aged 60+ years old (percentage),10.8
104,Myanmar,2022,Population density,82.9
516,Namibia,2010,Population mid-year estimates (millions),2.1
516,Namibia,2010,Population mid-year estimates for males (millions),1.02
516,Namibia,2010,Population mid-year estimates for females (millions),1.08
516,Namibia,2010,Sex ratio (males per 100 females),93.8
516,Namibia,2010,Population aged 0 to 14 years old (percentage),37
516,Namibia,2010,Population aged 60+ years old (percentage),5.3
516,Namibia,2010,Population density,2.6
516,Namibia,2015,Population mid-year estimates (millions),2.28
516,Namibia,2015,Population mid-year estimates for males (millions),1.1
516,Namibia,2015,Population mid-year estimates for females (millions),1.18
516,Namibia,2015,Sex ratio (males per 100 females),93.5
516,Namibia,2015,Population aged 0 to 14 years old (percentage),36.3
516,Namibia,2015,Population aged 60+ years old (percentage),5.7
516,Namibia,2015,Population density,2.8
516,Namibia,2021,Population mid-year estimates (millions),2.53
516,Namibia,2021,Population mid-year estimates for males (millions),1.22
516,Namibia,2021,Population mid-year estimates for females (millions),1.31
516,Namibia,2021,Sex ratio (males per 100 females),93.3
516,Namibia,2021,Population aged 0 to 14 years old (percentage),36.2
516,Namibia,2021,Population aged 60+ years old (percentage),6.2
516,Namibia,2021,Population density,3.1
516,Namibia,2021,Surface area (thousand km2),825
516,Namibia,2022,Population mid-year estimates (millions),2.57
516,Namibia,2022,Population mid-year estimates for males (millions),1.24
516,Namibia,2022,Population mid-year estimates for females (millions),1.33
516,Namibia,2022,Sex ratio (males per 100 females),93.2
516,Namibia,2022,Population aged 0 to 14 years old (percentage),36.2
516,Namibia,2022,Population aged 60+ years old (percentage),6.1
516,Namibia,2022,Population density,3.1
520,Nauru,2010,Population mid-year estimates (millions),0.01
520,Nauru,2010,Population mid-year estimates for males (millions),0.01
520,Nauru,2010,Population mid-year estimates for females (millions),0.01
520,Nauru,2010,Sex ratio (males per 100 females),104
520,Nauru,2010,Population aged 0 to 14 years old (percentage),36.5
520,Nauru,2010,Population aged 60+ years old (percentage),2.9
520,Nauru,2010,Population density,512
520,Nauru,2015,Population mid-year estimates (millions),0.01
520,Nauru,2015,Population mid-year estimates for males (millions),0.01
520,Nauru,2015,Population mid-year estimates for females (millions),0.01
520,Nauru,2015,Sex ratio (males per 100 females),104.1
520,Nauru,2015,Population aged 0 to 14 years old (percentage),38.5
520,Nauru,2015,Population aged 60+ years old (percentage),3.4
520,Nauru,2015,Population density,559.3
520,Nauru,2021,Population mid-year estimates (millions),0.01
520,Nauru,2021,Population mid-year estimates for males (millions),0.01
520,Nauru,2021,Population mid-year estimates for females (millions),0.01
520,Nauru,2021,Sex ratio (males per 100 females),103.4
520,Nauru,2021,Population aged 0 to 14 years old (percentage),38.8
520,Nauru,2021,Population aged 60+ years old (percentage),4.4
520,Nauru,2021,Population density,625.6
520,Nauru,2021,Surface area (thousand km2),0
520,Nauru,2022,Population mid-year estimates (millions),0.01
520,Nauru,2022,Population mid-year estimates for males (millions),0.01
520,Nauru,2022,Population mid-year estimates for females (millions),0.01
520,Nauru,2022,Sex ratio (males per 100 females),103.2
520,Nauru,2022,Population aged 0 to 14 years old (percentage),38.8
520,Nauru,2022,Population aged 60+ years old (percentage),4.6
520,Nauru,2022,Population density,633.4
524,Nepal,2010,Population mid-year estimates (millions),27.16
524,Nepal,2010,Population mid-year estimates for males (millions),13.26
524,Nepal,2010,Population mid-year estimates for females (millions),13.9
524,Nepal,2010,Sex ratio (males per 100 females),95.4
524,Nepal,2010,Population aged 0 to 14 years old (percentage),36.2
524,Nepal,2010,Population aged 60+ years old (percentage),7.4
524,Nepal,2010,Population density,184.5
524,Nepal,2015,Population mid-year estimates (millions),27.61
524,Nepal,2015,Population mid-year estimates for males (millions),13.16
524,Nepal,2015,Population mid-year estimates for females (millions),14.45
524,Nepal,2015,Sex ratio (males per 100 females),91.1
524,Nepal,2015,Population aged 0 to 14 years old (percentage),33.4
524,Nepal,2015,Population aged 60+ years old (percentage),8.5
524,Nepal,2015,Population density,187.6
524,Nepal,2021,Population mid-year estimates (millions),30.04
524,Nepal,2021,Population mid-year estimates for males (millions),14.37
524,Nepal,2021,Population mid-year estimates for females (millions),15.66
524,Nepal,2021,Sex ratio (males per 100 females),91.7
524,Nepal,2021,Population aged 0 to 14 years old (percentage),29.4
524,Nepal,2021,Population aged 60+ years old (percentage),9
524,Nepal,2021,Population density,204.1
524,Nepal,2021,Surface area (thousand km2),147
524,Nepal,2022,Population mid-year estimates (millions),30.55
524,Nepal,2022,Population mid-year estimates for males (millions),14.65
524,Nepal,2022,Population mid-year estimates for females (millions),15.9
524,Nepal,2022,Sex ratio (males per 100 females),92.1
524,Nepal,2022,Population aged 0 to 14 years old (percentage),28.9
524,Nepal,2022,Population aged 60+ years old (percentage),9
524,Nepal,2022,Population density,207.6
528,Netherlands (Kingdom of the),2010,Population mid-year estimates (millions),16.62
528,Netherlands (Kingdom of the),2010,Population mid-year estimates for males (millions),8.23
528,Netherlands (Kingdom of the),2010,Population mid-year estimates for females (millions),8.39
528,Netherlands (Kingdom of the),2010,Sex ratio (males per 100 females),98
528,Netherlands (Kingdom of the),2010,Population aged 0 to 14 years old (percentage),17.5
528,Netherlands (Kingdom of the),2010,Population aged 60+ years old (percentage),22
528,Netherlands (Kingdom of the),2010,Population density,493.5
528,Netherlands (Kingdom of the),2015,Population mid-year estimates (millions),17.04
528,Netherlands (Kingdom of the),2015,Population mid-year estimates for males (millions),8.45
528,Netherlands (Kingdom of the),2015,Population mid-year estimates for females (millions),8.59
528,Netherlands (Kingdom of the),2015,Sex ratio (males per 100 females),98.3
528,Netherlands (Kingdom of the),2015,Population aged 0 to 14 years old (percentage),16.6
528,Netherlands (Kingdom of the),2015,Population aged 60+ years old (percentage),24.1
528,Netherlands (Kingdom of the),2015,Population density,506.1
528,Netherlands (Kingdom of the),2021,Population mid-year estimates (millions),17.5
528,Netherlands (Kingdom of the),2021,Population mid-year estimates for males (millions),8.7
528,Netherlands (Kingdom of the),2021,Population mid-year estimates for females (millions),8.81
528,Netherlands (Kingdom of the),2021,Sex ratio (males per 100 females),98.8
528,Netherlands (Kingdom of the),2021,Population aged 0 to 14 years old (percentage),15.5
528,Netherlands (Kingdom of the),2021,Population aged 60+ years old (percentage),26.5
528,Netherlands (Kingdom of the),2021,Population density,519.8
528,Netherlands (Kingdom of the),2021,Surface area (thousand km2),42
528,Netherlands (Kingdom of the),2022,Population mid-year estimates (millions),17.56
528,Netherlands (Kingdom of the),2022,Population mid-year estimates for males (millions),8.73
528,Netherlands (Kingdom of the),2022,Population mid-year estimates for females (millions),8.83
528,Netherlands (Kingdom of the),2022,Sex ratio (males per 100 females),98.8
528,Netherlands (Kingdom of the),2022,Population aged 0 to 14 years old (percentage),15.4
528,Netherlands (Kingdom of the),2022,Population aged 60+ years old (percentage),27
528,Netherlands (Kingdom of the),2022,Population density,521.6
540,New Caledonia,2010,Population mid-year estimates (millions),0.26
540,New Caledonia,2010,Population mid-year estimates for males (millions),0.13
540,New Caledonia,2010,Population mid-year estimates for females (millions),0.13
540,New Caledonia,2010,Sex ratio (males per 100 females),102.3
540,New Caledonia,2010,Population aged 0 to 14 years old (percentage),25.8
540,New Caledonia,2010,Population aged 60+ years old (percentage),11.3
540,New Caledonia,2010,Population density,14.3
540,New Caledonia,2015,Population mid-year estimates (millions),0.28
540,New Caledonia,2015,Population mid-year estimates for males (millions),0.14
540,New Caledonia,2015,Population mid-year estimates for females (millions),0.14
540,New Caledonia,2015,Sex ratio (males per 100 females),101.1
540,New Caledonia,2015,Population aged 0 to 14 years old (percentage),24.1
540,New Caledonia,2015,Population aged 60+ years old (percentage),12.6
540,New Caledonia,2015,Population density,15.5
540,New Caledonia,2021,Population mid-year estimates (millions),0.29
540,New Caledonia,2021,Population mid-year estimates for males (millions),0.14
540,New Caledonia,2021,Population mid-year estimates for females (millions),0.14
540,New Caledonia,2021,Sex ratio (males per 100 females),99.1
540,New Caledonia,2021,Population aged 0 to 14 years old (percentage),22.5
540,New Caledonia,2021,Population aged 60+ years old (percentage),15.3
540,New Caledonia,2021,Population density,15.7
540,New Caledonia,2021,Surface area (thousand km2),19
540,New Caledonia,2022,Population mid-year estimates (millions),0.29
540,New Caledonia,2022,Population mid-year estimates for males (millions),0.14
540,New Caledonia,2022,Population mid-year estimates for females (millions),0.15
540,New Caledonia,2022,Sex ratio (males per 100 females),98.9
540,New Caledonia,2022,Population aged 0 to 14 years old (percentage),22.2
540,New Caledonia,2022,Population aged 60+ years old (percentage),15.8
540,New Caledonia,2022,Population density,15.9
554,New Zealand,2010,Population mid-year estimates (millions),4.35
554,New Zealand,2010,Population mid-year estimates for males (millions),2.13
554,New Zealand,2010,Population mid-year estimates for females (millions),2.22
554,New Zealand,2010,Sex ratio (males per 100 females),95.7
554,New Zealand,2010,Population aged 0 to 14 years old (percentage),20.9
554,New Zealand,2010,Population aged 60+ years old (percentage),18.3
554,New Zealand,2010,Population density,16.4
554,New Zealand,2015,Population mid-year estimates (millions),4.59
554,New Zealand,2015,Population mid-year estimates for males (millions),2.25
554,New Zealand,2015,Population mid-year estimates for females (millions),2.34
554,New Zealand,2015,Sex ratio (males per 100 females),96.3
554,New Zealand,2015,Population aged 0 to 14 years old (percentage),20
554,New Zealand,2015,Population aged 60+ years old (percentage),20
554,New Zealand,2015,Population density,17.3
554,New Zealand,2021,Population mid-year estimates (millions),5.13
554,New Zealand,2021,Population mid-year estimates for males (millions),2.54
554,New Zealand,2021,Population mid-year estimates for females (millions),2.59
554,New Zealand,2021,Sex ratio (males per 100 females),98.3
554,New Zealand,2021,Population aged 0 to 14 years old (percentage),18.9
554,New Zealand,2021,Population aged 60+ years old (percentage),21.7
554,New Zealand,2021,Population density,19.4
554,New Zealand,2021,Surface area (thousand km2),268
554,New Zealand,2022,Population mid-year estimates (millions),5.19
554,New Zealand,2022,Population mid-year estimates for males (millions),2.57
554,New Zealand,2022,Population mid-year estimates for females (millions),2.62
554,New Zealand,2022,Sex ratio (males per 100 females),98.3
554,New Zealand,2022,Population aged 0 to 14 years old (percentage),18.7
554,New Zealand,2022,Population aged 60+ years old (percentage),22.2
554,New Zealand,2022,Population density,19.6
558,Nicaragua,2010,Population mid-year estimates (millions),5.86
558,Nicaragua,2010,Population mid-year estimates for males (millions),2.89
558,Nicaragua,2010,Population mid-year estimates for females (millions),2.97
558,Nicaragua,2010,Sex ratio (males per 100 females),97.1
558,Nicaragua,2010,Population aged 0 to 14 years old (percentage),34.4
558,Nicaragua,2010,Population aged 60+ years old (percentage),5.9
558,Nicaragua,2010,Population density,48.7
558,Nicaragua,2015,Population mid-year estimates (millions),6.3
558,Nicaragua,2015,Population mid-year estimates for males (millions),3.1
558,Nicaragua,2015,Population mid-year estimates for females (millions),3.2
558,Nicaragua,2015,Sex ratio (males per 100 females),97.1
558,Nicaragua,2015,Population aged 0 to 14 years old (percentage),32.1
558,Nicaragua,2015,Population aged 60+ years old (percentage),6.8
558,Nicaragua,2015,Population density,52.3
558,Nicaragua,2021,Population mid-year estimates (millions),6.85
558,Nicaragua,2021,Population mid-year estimates for males (millions),3.38
558,Nicaragua,2021,Population mid-year estimates for females (millions),3.47
558,Nicaragua,2021,Sex ratio (males per 100 females),97.1
558,Nicaragua,2021,Population aged 0 to 14 years old (percentage),30.1
558,Nicaragua,2021,Population aged 60+ years old (percentage),7.7
558,Nicaragua,2021,Population density,56.9
558,Nicaragua,2021,Surface area (thousand km2),130
558,Nicaragua,2022,Population mid-year estimates (millions),6.95
558,Nicaragua,2022,Population mid-year estimates for males (millions),3.42
558,Nicaragua,2022,Population mid-year estimates for females (millions),3.52
558,Nicaragua,2022,Sex ratio (males per 100 females),97.1
558,Nicaragua,2022,Population aged 0 to 14 years old (percentage),29.7
558,Nicaragua,2022,Population aged 60+ years old (percentage),7.9
558,Nicaragua,2022,Population density,57.7
562,Niger,2010,Population mid-year estimates (millions),16.65
562,Niger,2010,Population mid-year estimates for males (millions),8.43
562,Niger,2010,Population mid-year estimates for females (millions),8.22
562,Niger,2010,Sex ratio (males per 100 females),102.5
562,Niger,2010,Population aged 0 to 14 years old (percentage),49.1
562,Niger,2010,Population aged 60+ years old (percentage),3.8
562,Niger,2010,Population density,13.1
562,Niger,2015,Population mid-year estimates (millions),20.13
562,Niger,2015,Population mid-year estimates for males (millions),10.2
